sample_id,timestamp,device_id,class_label,category,flex_1,flex_2,flex_3,flex_4,flex_5,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,battery_level,signal_strength
0,2025-07-26T21:03:27.191488,DEMO_UNIFIED_001,ㄱ,consonant,843.3639941126511,308.97145823162776,289.208359575394,304.77995951279274,288.71892782251723,2.3863682780920694,-1.0298408721787111,0.35775933063271714,0.24271185791270183,-9.851161336854373,0.03940881076694487,96.85576228212139,-47
1,2025-07-26T21:03:27.191745,DEMO_UNIFIED_001,ㄱ,consonant,850.6403774686141,296.73040468407135,301.09277422231764,315.7272320788892,296.7815997143732,1.8141572249093838,-1.4147520228302608,0.23300573667575175,0.25989175700612677,-9.75538831774924,0.043933273148710206,92.75976299263212,-45
2,2025-07-26T21:03:27.191767,DEMO_UNIFIED_001,ㄱ,consonant,848.9251150945798,280.8768778376714,286.4997808310505,319.9373490894155,284.7947879524159,2.1137424883622056,-1.3946546842117336,-0.014871218283575738,0.15176527441096022,-9.738889583462733,0.18590246778796393,90.52080845969148,-33
3,2025-07-26T21:03:27.191788,DEMO_UNIFIED_001,ㄱ,consonant,863.2901798061964,298.79815398652283,290.7051495194173,316.154649183739,282.0742318142079,2.1850921661219522,-1.1602015634137979,-0.10901359455497028,0.15034391363845745,-9.87166613197091,0.11100166008960143,97.23849841019077,-45
4,2025-07-26T21:03:27.191820,DEMO_UNIFIED_001,ㄱ,consonant,868.6926043334767,284.4140216985168,310.2318065816595,311.5922489708329,319.0694725157922,1.7198437209406379,-0.6754473919779252,-0.26816020433208,0.2782532920086467,-9.815050273511238,0.14997876487430342,92.73447325701515,-40
5,2025-07-26T21:03:27.191835,DEMO_UNIFIED_001,ㄱ,consonant,847.2335193133415,284.7888156432681,319.6765518037944,291.62986892802803,291.78039414061146,1.5613297885597222,-0.5071995730301417,-0.37468741711300546,0.1598083376250841,-9.770111230740335,0.17761370084946018,97.9423083109789,-33
6,2025-07-26T21:03:27.191848,DEMO_UNIFIED_001,ㄱ,consonant,830.2476279004931,318.1926698661233,294.83412282740915,285.50850127229046,307.2875381489093,2.3895861284190225,-1.183239310033847,0.4259995248927878,0.19623867204705442,-9.714782046774676,0.0720997115719642,94.49405292602422,-35
7,2025-07-26T21:03:27.191865,DEMO_UNIFIED_001,ㄱ,consonant,831.2047222241865,308.9185718147277,281.42357226825254,293.86504950430174,308.74665651660536,2.351251460295383,-0.6655594618619396,-0.46924918838661545,0.22942759009952812,-9.701376496127445,0.12738134419648786,91.08608191831124,-41
8,2025-07-26T21:03:27.191884,DEMO_UNIFIED_001,ㄱ,consonant,860.4171712643086,291.3164701461774,294.07522164345784,295.1906146781943,282.15537325286306,1.6881215173863684,-1.000968988866731,-0.4308493600106946,0.10709597997832565,-9.813594583194716,0.07408224399061643,85.07701838542148,-35
9,2025-07-26T21:03:27.191897,DEMO_UNIFIED_001,ㄱ,consonant,836.4114133936268,300.9323575109886,308.4233550093987,298.36070759455504,295.56886425670444,2.3066921413120047,-0.5559865960813042,0.0015557057506311311,0.16029323357554856,-9.715542891607432,0.04114043289106389,88.06938983909846,-30
